,drug,generated_coformers,unobstructed,orthogonal_planes,h_bond_bridging,mol,diversity
34,CC(=O)Nc1nnc(s1)S(N)(=O)=O,IC(C)=S,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA2158D0>,0.044046404867942396
35,CC(=O)Nc1nnc(s1)S(N)(=O)=O,C1=CC=C(Br)C(Cl)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215930>,0.21552090738764504
36,CC(=O)Nc1nnc(s1)S(N)(=O)=O,P=C,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215990>,0.021739130434782608
37,CC(=O)Nc1nnc(s1)S(N)(=O)=O,SC1=CC(F)=CC(Br)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA2159F0>,0.1225966216679331
38,CC(=O)Nc1nnc(s1)S(N)(=O)=O,C1=CC(Cl)=CC(I)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215A50>,0.20738315827139972
39,CC(=O)Nc1nnc(s1)S(N)(=O)=O,O=S,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215AB0>,0.023853004452894382
40,CC(=O)Nc1nnc(s1)S(N)(=O)=O,CF,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215B10>,0.030571574525622338
41,CC(=O)Nc1nnc(s1)S(N)(=O)=O,IC1=CC(F)=CC(Cl)=C1F,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215B70>,0.16348567788465893
42,CC(=O)Nc1nnc(s1)S(N)(=O)=O,IC1=CC=C(Br)C(F)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215BD0>,0.15320231105959234
43,CC(=O)Nc1nnc(s1)S(N)(=O)=O,N#N,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215C30>,0.02237851662404092
44,CC(=O)Nc1nnc(s1)S(N)(=O)=O,BrC1=CC=C(Cl)C(Br)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215C90>,0.18617153060792596
45,CC(=O)Nc1nnc(s1)S(N)(=O)=O,C1=CC=CC=C1Br,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215CF0>,0.1892249771708565
